,1,2,3,4,5,6,7,8,9
58,0.128872475,0.1229082738,0.0323862254,0.0571364001,0.0185842504,0,0.1912350598,0.1434262948,0
59,0.001995676,0.0025430043,0.0013618811,0.0130973702,0.0306735673,0,1,0.0199203187,1
60,0.0900151559,0.0884548335,0.0285030439,0.0583303442,0.0450449081,0,0.9043824701,0.0478087649,1
61,0.0068866914,0.0106718806,0.0056282606,0.0311303714,0.1021843219,0,0.8844621514,0.0637450199,1
62,0.0650402181,0.0791397012,0.0225637768,0.1632009436,0.0684269474,0.2549800797,0.9362549801,0.0956175299,1
63,0.0997803187,0.1478428083,0.047748483,0.4875707343,0.0968231396,0.2310756972,0.7370517928,0.3227091633,0
64,0.0042310716,0.0057614817,0.0025692469,0.015583301,0.0062922016,0,1,0.1274900398,1
65,0.0038761244,0.006087032,0.0022235248,0.0233328023,0.0066042896,0,1,0.1195219124,1
66,0.0009143521,0.0019884962,0.0009379328,0.0061585804,0.0032273514,0,1,0,1
67,0.0127290773,0.0142779637,0.0076144744,0.0117797112,0.0092109633,0.0039840637,1,0,1
68,0.0262722278,0.0446471866,0.0146130512,0.0102767311,0.0041571437,0,1,0,1
69,0.0162869805,0.0216044181,0.0112671187,0.017268424,0.0338595763,0,0.6374501992,0.0557768924,1
70,0.0592058036,0.060736236,0.0295224461,0.0518875098,0.0370127472,0.1434262948,0.8964143426,0,1
71,0.0277073866,0.0557704398,0.0243620923,0.005998434,0.0063678893,0,0.9601593626,0,1
72,0.0029845994,0.0113284215,0.0047274268,0.0592929485,0.0237795879,0,0.8685258964,0,1
73,0.0245831118,0.0294867746,0.0103153344,0.0485044317,0.0188133063,0.0557768924,1,0.0717131474,1
74,0.0186029611,0.0108674754,0.0065496425,0.0145155947,0.0132896478,0,1,0,1
75,0.0398599296,0.0304211536,0.0212009635,0.0081413745,0.0066505418,0,0.9920318725,0,1
76,0.0118896534,0.0127632859,0.0066659479,0.0033361646,0.0035592947,0,0.9282868526,0,1
77,0.0159868812,0.0191190603,0.0095979507,0.024551833,0.012994303,0,0.96812749,0.0199203187,1
78,0.0153249703,0.0189829319,0.0098341976,0.07710014,0.0195073552,0.1633466135,0.8326693227,0.2231075697,1
79,0.0192104271,0.0103969124,0.0106613981,0.0292396698,0.0268549502,0.0278884462,0,0.1115537849,0
80,0.1728975589,0.1506540882,0.0557856475,0.0728168285,0.0451511831,0.0637450199,0.438247012,0.0876494024,0
81,0.0041857237,0.0109038265,0.0029681645,0.0432869232,0.0204965367,0.015936255,0.8446215139,0.3107569721,1
82,0.0020770374,0.0050975737,0.0019461379,0.017824299,0.0094718404,0,1,0,1
83,0.0611710033,0.0666677818,0.0264279,0.0684027015,0.0487758319,0.03187251,0.9641434263,0.0637450199,1
84,0.0081315049,0.0111154633,0.0061846202,0.0629163553,0.0573042757,0.1115537849,0.9362549801,0.0597609562,0
85,0.0326492813,0.0514259457,0.018223838,0.009470752,0.0129628016,0,0.6932270916,0,1
