,1,2,3,4,5,6,7
32,0.2340184701,-0.5997474542,-0.029993951,0.0091579259,0.0060469894,0.0076720326,1
33,-0.0751823865,0.2815845936,0.1574218426,0.0222197275,0.0220583305,0.1731045198,1
34,-0.052616816,0.3022588008,0.0760621814,0.0492134807,0.0294955083,0.0938844453,1
35,-0.0801017098,0.0583044522,0.0209825777,0.1538430383,0.2909630362,0.1146388095,0
36,-0.0318753342,-0.0191131212,0.1173840984,0.0071557752,0.0050209471,0.0077480565,1
37,0.1474151654,0.0734199012,-0.090519349,0.3673983985,0.5813943267,0.2583989133,0
38,0.5371691355,0.2046146181,0.075560441,0.2515824064,0.1143093839,0.2074141732,1
39,0.1383663096,0.2017653386,0.0588351112,0.0090302426,0.0055855752,0.0063249645,1
40,0.0386701243,0.0304921506,0.0819432474,0.0114246927,0.0036067678,0.0041075009,1
41,0.1598040299,0.1911536693,-0.1129671422,0.019893676,0.0134314969,0.0309272912,1
42,0.2589170199,-0.0134261074,0.1113955335,0.016588615,0.0066965011,0.0144170521,1
43,-0.0078319373,0.1785276406,0.2399383355,0.1057592842,0.2016782535,0.2466317257,0
44,-0.0431662552,0.1566679402,-0.0693767984,0.0183879798,0.0143174564,0.0180058092,1
45,0.3370316056,-0.0836378606,0.1164607737,0.0082782712,0.0036955031,0.0062881105,1
46,0.0443373199,0.3437338805,0.0134413657,0.0060917436,0.0043761136,0.0069973041,1
47,0.1146015295,0.1066056036,-0.1929043948,0.0206793593,0.0298875099,0.0283825425,1
48,-0.0528001458,0.3812325896,-0.0250295516,0.0219637908,0.0655075093,0.3348344024,1
49,0.0916151594,-0.2758044661,0.0434253661,0.0490151318,0.1345896745,0.021818346,0
50,0.0671946675,0.0732635708,-0.1247330175,0.0261104947,0.0580694989,0.0342911278,1
51,-0.3701419741,-0.1858698481,-0.0202690381,0.3665382185,0.1338813997,0.0780417275,0
52,-0.047194579,-0.0079740064,0.1111322145,0.1765995347,0.039323237,0.0406429884,0
53,-0.0315979239,0.0232845597,0.084572841,0.2430993556,0.0261076509,0.0239774454,1
54,-0.033330327,0.0492898118,0.0138537738,0.0151269644,0.0766666939,0.0530256517,1
55,0.0091566571,0.1399849717,-0.0119405784,0.0237045289,0.010135769,0.0119516398,1
56,-0.0128012367,0.2782099203,-0.0879745968,0.0232176142,0.0160424268,0.0369309161,0
57,-0.1572792434,0.0232910737,-0.082435447,0.0393922153,0.0326995184,0.0135859752,0
58,0.0095515991,-0.0233238359,0.0036948176,0.0050769162,0.0057732261,0.0027176306,1
59,0.2193306414,-0.3101683514,0.2211513068,0.0356988429,0.1092040425,0.0343881428,1
60,-0.2160186614,0.1309510992,-0.03555861,0.0150918243,0.0190567885,0.0074754076,1
61,-0.1459132601,0.1484887418,0.0463336873,0.1577677487,0.2301190492,0.0554615698,1
62,-0.0531167438,0.0858098212,-0.0361003984,0.0615674554,0.0735329279,0.0722855251,1
63,0.0459551991,-0.3498383347,0.0269110141,0.0161356709,0.0137408983,0.0123277419,0
64,-0.1526123464,0.1403058295,-0.005800573,0.1158794721,0.0328777177,0.0475902034,1
65,-0.1572618916,0.0120953854,0.1053313815,0.1117588534,0.0467715503,0.0429283577,1
66,-0.0033204526,0.0254391604,0.0429945806,0.0945167451,0.064678239,0.0967109844,0
67,0.0338528271,0.0358309018,-0.2402067255,0.0129116611,0.0206669893,0.0385046561,1
68,0.0822164367,0.348682259,0.0228662598,0.0181364993,0.0235422547,0.0119590253,1
69,-0.0868348797,0.2635726215,-0.160104992,0.0059784045,0.0069398799,0.0060612967,1
70,0.280508992,-0.052143541,0.0215419657,0.0103689038,0.0033513407,0.0041595761,1
71,0.0357784247,0.1360816574,-0.0421584971,0.2033279897,0.1577276086,0.1514611467,0
72,-0.2062733757,0.3729654888,0.3474138853,0.366308301,0.3816623795,0.4939605521,0
73,0.2389379482,0.1590573064,0.0759109438,0.0324127488,0.0624510915,0.0339582501,1
74,-0.1256848418,0.0551063586,-0.0902403837,0.0254817237,0.0089965625,0.0097840502,1
75,-0.1874049562,0.1839934701,-0.0170086437,0.0164186894,0.0075248592,0.0082715282,1
76,-0.1410153139,0.236012255,-0.0406831048,0.0095544423,0.0074005813,0.0060996788,1
77,-0.169960439,0.2366223904,-0.093781353,0.0206138822,0.0174746912,0.0114168766,1
78,0.256420247,-0.0446241968,0.1022849606,0.0079250459,0.0047203419,0.001886883,1
79,0.1384422151,0.3423927689,0.03394552,0.0109636494,0.0057605024,0.0143581606,1
80,-0.2220035657,0.1037204319,0.0056803544,0.0057968708,0.0041214074,0.0037183634,1
81,-0.1624910414,-0.0614805733,0.1161653566,0.0262602235,0.0078332315,0.0055471096,1
82,-0.0378369614,-0.3537881195,-0.1705069283,0.0110029133,0.0095134298,0.0113830109,1
83,0.1821931912,0.126931996,-0.2148712112,0.0106772259,0.0080327857,0.0081803551,1
84,-0.1626146414,0.2013583825,-0.0124964394,0.0057450359,0.0055849244,0.004942701,1
85,0.0034149947,0.0417038167,0.0392188363,0.0425201936,0.0139010875,0.0252275595,1
86,0.0289125933,-0.0610027215,-0.1332018088,0.011039779,0.0076269838,0.0062067201,1
87,-0.0535898764,-0.0446352223,0.1503770677,0.0299316473,0.0050682513,0.0063536339,1
88,-0.1584257781,0.1860025737,-0.0738975255,0.0405801306,0.0069457636,0.0095776829,1
89,-0.0816971255,0.1933020478,-0.0373910697,0.0211691802,0.0110452119,0.0096079918,1
90,0.0502168402,0.0577012506,0.0639611478,0.0071993301,0.0103289311,0.0075132172,1
91,-0.0562544789,-0.0302362855,0.1161380761,0.0153883202,0.0337637817,0.0202245683,1
92,0.1244496809,0.2735495458,0.0415785016,0.0114623395,0.0055509098,0.0063948411,0
93,0.0680218853,0.3389091952,0.0094211923,0.0181402661,0.0135856447,0.0099543164,1
