,1,2,3,4,5,6,7,8,9,10,11,12,13
1897,0.1493354502,0.1199306175,-0.9600399641,-0.1675854176,0.144620673,-0.0175440501,0.1554142884,0.1254144702,0.0419101728,0.1516928705,0.1527824074,0.0973418318,1
1898,0.2804773944,0.2649724741,-0.9223789363,0.1490886056,0.2617204104,0.0197521725,0.0139578689,0.0111320705,0.0045076319,0.0079989643,0.0065911253,0.0093468992,1
1899,0.2088764582,0.2746687649,-0.9376297211,0.3420563904,-0.1705441554,0.0726959052,0.0267555119,0.03062832,0.0111442518,0.0112858736,0.0304338085,0.018168038,1
1900,0.2131384821,0.1804478048,-0.9347697012,-0.0459301054,0.0562202619,-0.096697467,0.1624376275,0.1388523894,0.0504997838,0.1245446183,0.2225704505,0.099037102,0
1901,0.206537992,0.2744177012,-0.9308181036,0.0754844522,0.2274574223,0.0811129888,0.1020902328,0.0600655626,0.0398044053,0.0346010375,0.0358426727,0.0912284026,0
1902,0.290927004,0.2917149482,-0.9111441713,0.0824283303,0.1705464905,-0.0877383302,0.0047600234,0.006754761,0.0034407312,0.0161051947,0.0436724726,0.054949886,1
1903,0.3194489004,0.3009636614,-0.8980144343,0.0423458771,0.0517543418,0.0336479006,0.0066621959,0.028028729,0.0106481173,0.1110000376,0.0461345285,0.0973089412,1
1904,0.3288029004,0.3384035578,-0.8814946454,0.21319969,-0.4804006653,0.2817914024,0.0141852793,0.0106709916,0.0048789186,0.040332153,0.0432872522,0.0571739904,0
1905,0.4020038566,0.3760243546,-0.8347421116,0.3948231036,0.1120311753,0.0064050796,0.0111010245,0.0065054758,0.0062155227,0.0165170125,0.005840856,0.0133945981,0
1906,0.0870761498,0.2086304223,-0.9736795697,0.0838903869,0.3665587052,0.0163835188,0.015177087,0.0235165033,0.0074719436,0.0112840701,0.0160269595,0.0089967401,1
1907,0.341985757,0.3162222311,-0.8847814064,0.1958403116,0.0100426973,-0.1244865324,0.0109367953,0.0077591591,0.005591306,0.0430869347,0.1250398754,0.0352756853,0
1908,0.2909878127,0.2910241554,-0.9095234183,-0.1063976191,0.2227110996,0.2750590932,0.0515834291,0.0201976272,0.0181483173,0.0310512436,0.0417502452,0.0847159438,0
1909,0.1604200295,0.235108741,-0.9546986375,0.0363592825,0.255404988,0.2065373307,0.052528803,0.0622817467,0.0300246908,0.0160660496,0.0159095205,0.0113417668,1
1910,0.0944248896,0.2078300351,-0.9685747171,0.1914668725,0.3316708964,0.0311092542,0.0721907914,0.0612081076,0.0282087512,0.0142255076,0.0182991788,0.0138352306,0
1911,0.1603748765,0.1510516773,-0.9428413267,0.2251742253,-0.3577528016,0.174220539,0.176122222,0.1659641584,0.0628519719,0.1231607622,0.2975786736,0.2244688263,0
1912,0.3262736773,0.2901353068,-0.8996292191,-0.0123897825,0.1071747829,0.0009608817,0.0020000897,0.0050820612,0.0021036785,0.0285787778,0.0219707344,0.0179044068,1
1913,0.3105937251,0.2617778924,-0.9137658367,-0.1943226135,0.1059482198,0.0015622203,0.0019924027,0.0052572209,0.002063568,0.0126991596,0.0188227777,0.0070130508,1
1914,0.3306200956,0.2566168924,-0.9075697291,-0.1021552857,0.4097281275,-0.2471956155,0.0237059134,0.0237234291,0.0055218503,0.0180370889,0.0675736666,0.1924023077,1
